RAM(MB),Cores,Workload_GPU(%),Workload_CPU(%),YOLOtime(s)
2500,1,26.39622641509434,40,2.300912
2500,1,26.39622641509434,40,2.550791
2500,1,26.39622641509434,40,2.533089
2500,1,26.39622641509434,40,2.260151
2500,1,26.39622641509434,40,2.398198
2500,1,26.39622641509434,40,2.541271
2500,1,26.39622641509434,40,2.562237
2500,1,26.39622641509434,40,2.285705
2500,1,26.39622641509434,40,2.464511
2500,1,26.39622641509434,40,2.633263
2500,1,26.39622641509434,40,2.589092
2500,1,26.39622641509434,40,2.287029
2500,1,26.39622641509434,40,2.566873
2500,1,26.39622641509434,40,2.300649
2500,1,26.39622641509434,40,2.386237
2500,1,26.39622641509434,40,2.592716
2500,1,26.39622641509434,40,2.679791
2500,1,26.39622641509434,40,2.334470
2500,1,26.39622641509434,40,2.681913
2500,1,26.39622641509434,40,2.666628
2500,1,26.39622641509434,40,2.368150
3000,1,33.16981132075472,40,2.362932
3000,1,33.16981132075472,40,2.295372
3000,1,33.16981132075472,40,2.491139
3000,1,33.16981132075472,40,2.547444
3000,1,33.16981132075472,40,2.328944
3000,1,33.16981132075472,40,2.409873
3000,1,33.16981132075472,40,2.554558
3000,1,33.16981132075472,40,2.546782
3000,1,33.16981132075472,40,2.320347
3000,1,33.16981132075472,40,2.472179
3000,1,33.16981132075472,40,2.608032
3000,1,33.16981132075472,40,2.319668
3000,1,33.16981132075472,40,2.282842
3000,1,33.16981132075472,40,2.563915
3000,1,33.16981132075472,40,2.576806
3000,1,33.16981132075472,40,2.336899
3000,1,33.16981132075472,40,2.499394
3000,1,33.16981132075472,40,2.530454
3000,1,33.16981132075472,40,2.483620
3000,1,33.16981132075472,40,2.299603
3000,1,33.16981132075472,40,2.582037
3000,1,33.16981132075472,40,2.597245
3000,1,33.16981132075472,40,2.334394
3000,1,33.16981132075472,40,2.684342
3000,1,33.16981132075472,40,2.537261
3000,1,33.16981132075472,40,2.340765
3000,1,33.16981132075472,40,2.337654
3000,1,33.16981132075472,40,2.675503
3000,1,33.16981132075472,40,2.630125
3000,1,33.16981132075472,40,2.272200
3000,1,33.16981132075472,40,2.644570
3000,1,33.16981132075472,40,2.389760
3000,1,33.16981132075472,40,2.391085
3000,1,33.16981132075472,40,2.629814
3000,1,33.16981132075472,40,2.338520
3000,1,33.16981132075472,40,2.296901
3000,1,33.16981132075472,40,2.554878
3000,1,33.16981132075472,40,2.592946
3000,1,33.16981132075472,40,2.357081
3000,1,33.16981132075472,40,2.327438
