RAM(MB),Cores,Workload_GPU(%),Workload_CPU(%),YOLOtime(s)
3000,1,34.30909090909091,30,1.178331
3000,1,34.30909090909091,30,1.080916
3000,1,34.30909090909091,30,1.275841
3000,1,34.30909090909091,30,1.274182
3000,1,34.30909090909091,30,1.292309
3000,1,34.30909090909091,30,1.266799
3000,1,34.30909090909091,30,1.251969
3000,1,34.30909090909091,30,1.159608
3000,1,34.30909090909091,30,1.298934
3000,1,34.30909090909091,30,1.319367
3000,1,34.30909090909091,30,1.236253
3000,1,34.30909090909091,30,1.162332
3000,1,34.30909090909091,30,1.258033
3000,1,34.30909090909091,30,1.265206
3000,1,34.30909090909091,30,1.142104
3000,1,34.30909090909091,30,1.185571
3000,1,34.30909090909091,30,1.275363
3000,1,34.30909090909091,30,1.270173
3000,1,34.30909090909091,30,1.145716
3000,1,34.30909090909091,30,1.131363
3000,1,34.30909090909091,30,1.319351
3000,1,34.30909090909091,30,1.292297
3000,1,34.30909090909091,30,1.287628
3000,1,34.30909090909091,30,1.188698
3000,1,34.30909090909091,30,1.201064
3000,1,31.944444444444443,40,1.280723
3000,1,31.944444444444443,40,1.255715
3000,1,31.944444444444443,40,1.251970
3000,1,31.944444444444443,40,1.179157
3000,1,31.944444444444443,40,1.086967
3000,1,31.944444444444443,40,1.124944
3000,1,31.944444444444443,40,1.111141
3000,1,31.944444444444443,40,1.203242
3000,1,31.944444444444443,40,1.235135
3000,1,31.944444444444443,40,1.125191
3000,1,31.944444444444443,40,1.144205
3000,1,31.944444444444443,40,1.184353
3000,1,31.944444444444443,40,1.251536
3000,1,31.944444444444443,40,1.260512
3000,1,31.944444444444443,40,1.261503
3000,1,31.944444444444443,40,1.251388
3000,1,31.944444444444443,40,1.189036
3000,1,31.944444444444443,40,1.100700
3000,1,31.944444444444443,40,1.073738
3000,1,31.944444444444443,40,1.132248
3000,1,31.944444444444443,40,1.236863
3000,1,31.944444444444443,40,1.274991
3000,1,31.944444444444443,40,1.316624
3000,1,31.944444444444443,40,1.255282
3000,1,31.944444444444443,40,1.248753
3000,1,31.944444444444443,40,1.258710
3000,1,31.944444444444443,40,1.238091
3000,1,31.944444444444443,40,1.142287
3000,1,31.944444444444443,40,1.118209
3000,1,31.944444444444443,40,1.137092
3000,1,42.35849056603774,50,1.248271
3000,1,42.35849056603774,50,1.224211
3000,1,42.35849056603774,50,1.149343
3000,1,42.35849056603774,50,1.141577
3000,1,42.35849056603774,50,1.116877
3000,1,42.35849056603774,50,1.044274
3000,1,42.35849056603774,50,1.141129
3000,1,42.35849056603774,50,1.084074
3000,1,42.35849056603774,50,1.095798
3000,1,42.35849056603774,50,1.128250
3000,1,42.35849056603774,50,1.104142
3000,1,42.35849056603774,50,1.083456
3000,1,42.35849056603774,50,1.111285
3000,1,42.35849056603774,50,1.084585
3000,1,42.35849056603774,50,1.070727
3000,1,42.35849056603774,50,1.070438
3000,1,42.35849056603774,50,1.077537
3000,1,42.35849056603774,50,1.073228
3000,1,42.35849056603774,50,1.076019
3000,1,42.35849056603774,50,1.064544
3000,1,42.35849056603774,50,1.113814
3000,1,42.35849056603774,50,1.147891
3000,1,42.35849056603774,50,1.124527
3000,1,42.35849056603774,50,1.085262
3000,1,42.35849056603774,50,1.104463
3000,1,42.35849056603774,50,1.142816
3000,1,42.35849056603774,50,1.118413
3000,1,42.35849056603774,50,1.141348
3000,1,42.35849056603774,50,1.123971
3000,1,42.35849056603774,50,1.128638
3000,1,27.09259259259259,60,1.203886
3000,1,27.09259259259259,60,1.160880
3000,1,27.09259259259259,60,1.120850
3000,1,27.09259259259259,60,1.114698
3000,1,27.09259259259259,60,1.110639
3000,1,27.09259259259259,60,1.073350
3000,1,27.09259259259259,60,1.096525
3000,1,27.09259259259259,60,1.063943
3000,1,27.09259259259259,60,1.140249
3000,1,27.09259259259259,60,1.209071
3000,1,27.09259259259259,60,1.201729
3000,1,27.09259259259259,60,1.172386
3000,1,27.09259259259259,60,1.193376
3000,1,27.09259259259259,60,1.160151
3000,1,27.09259259259259,60,1.319989
3000,1,27.09259259259259,60,1.184771
3000,1,27.09259259259259,60,1.202594
3000,1,27.09259259259259,60,1.158491
3000,1,27.09259259259259,60,1.115074
3000,1,27.09259259259259,60,1.116241
3000,1,27.09259259259259,60,1.083250
3000,1,27.09259259259259,60,1.073551
3000,1,27.09259259259259,60,1.087057
3000,1,27.09259259259259,60,1.049843
3000,1,27.09259259259259,60,1.035942
3000,1,27.09259259259259,60,1.081670
3000,1,27.09259259259259,60,1.081711
3000,1,27.09259259259259,60,1.117158
3000,1,27.09259259259259,60,1.175902
3000,1,27.09259259259259,60,1.138833
3000,1,28.830188679245282,70,1.077455
3000,1,28.830188679245282,70,1.204440
3000,1,28.830188679245282,70,1.175742
3000,1,28.830188679245282,70,1.123169
3000,1,28.830188679245282,70,1.088140
3000,1,28.830188679245282,70,1.063615
3000,1,28.830188679245282,70,1.083664
3000,1,28.830188679245282,70,1.095362
3000,1,28.830188679245282,70,1.055041
3000,1,28.830188679245282,70,1.080566
3000,1,28.830188679245282,70,1.103060
3000,1,28.830188679245282,70,1.095075
3000,1,28.830188679245282,70,1.051966
3000,1,28.830188679245282,70,1.052169
3000,1,28.830188679245282,70,1.166981
3000,1,28.830188679245282,70,1.106338
3000,1,28.830188679245282,70,1.080540
3000,1,28.830188679245282,70,1.099870
3000,1,28.830188679245282,70,1.103896
3000,1,28.830188679245282,70,1.124513
3000,1,28.830188679245282,70,1.183130
3000,1,28.830188679245282,70,1.213502
3000,1,28.830188679245282,70,1.223840
3000,1,28.830188679245282,70,1.073602
3000,1,28.830188679245282,70,1.078284
3000,1,28.830188679245282,70,1.185803
3000,1,28.830188679245282,70,1.121011
3000,1,28.830188679245282,70,1.165425
3000,1,28.830188679245282,70,1.114928
3000,1,28.830188679245282,70,1.158634
